Population,ID,Sex,Mom_ID,Litter,Treatment,Pred_Tutor,Pred,Tutor_pop,Birth Day,Day,Date,Time,Water,Weight,Run,Latency,Attempts,Notes
AH,AHF2_1Y3O.6.3,F,AHF2_1Y3O,6,pred-/same,pred-/AH,pred-,AH,13-May,1,28-Jun,13:37,pred+,0.146,1,33,86,
AH,AHF2_1Y3O.6.3,F,AHF2_1Y3O,6,pred-/same,pred-/AH,pred-,AH,13-May,2,29-Jun,15:19,pred-,0.146,1,13,34,
AH,AHF2_1G4G.2.1,M,AHF2_1G4G,2,pred-/same,pred-/AH,pred-,AH,12-Jan,1,27-Feb,16:13,pred-,0.096,1,482,3,camera malfunction so no day 1 video
AH,AHF2_1G4G.2.1,M,AHF2_1G4G,2,pred-/same,pred-/AH,pred-,AH,12-Jan,2,28-Feb,15:02,pred+,0.096,1,105,17,
AH,AHF2_1G4G.6.1,M,AHF2_1G4G,6,pred-/same,pred-/AH,pred-,AH,14-Aug,1,30-Sep,15:48,pred+,0.129,2,130,36,didn't eat 9/29; frantic swimming
AH,AHF2_1G4G.6.1,M,AHF2_1G4G,6,pred-/same,pred-/AH,pred-,AH,14-Aug,2,1-Oct,14:53,pred-,0.129,1,11,17,top and bottom
AH,AHF2_1G4P.3.1,M,AHF2_1G4P,3,pred-/same,pred-/AH,pred-,AH,12-Feb,1,6-Apr,17:50,pred-,0.105,1,476,39,
AH,AHF2_1G4P.3.1,M,AHF2_1G4P,3,pred-/same,pred-/AH,pred-,AH,12-Feb,2,7-Apr,15:00,pred+,0.105,1,522,17,
AH,AHF2_1G4P.4.1,M,AHF2_1G4P,4,pred-/same,pred-/AH,pred-,AH,8-Mar,1,24-Apr,15:50,pred+,0.1,1,65,33,missing day 1 video 
AH,AHF2_1G4P.4.1,M,AHF2_1G4P,4,pred-/same,pred-/AH,pred-,AH,8-Mar,2,25-Apr,15:12,pred-,0.1,1,30,53,
